Sample Number,Sample Site Identification Number,Site Name,Site Location (lat),Site Location (long),Site Province,District Name,Local Municipality,Epi Week,Sample Collection Date,Concentration method,Measles Concentration (copies/uL),Measles Partitions (positive),Measles Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0005,COT-KAH-25-02-A,Kalafong Hospital,-25.7619016,28.0878562,Gauteng,Tshwane MM,,2,2025/01/07,Ceres+Dynabeads,0.423,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0006,COT-ATS-25-02-A,Atteridgeville Train Station,-25.7625202,28.0752783,Gauteng,Tshwane MM,,2,2025/01/07,Dynabeads,0.427,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0011,COJ-BKI-25-02-A,Bushkoppies Inlet,-26.3104709,27.9313596,Gauteng,Johannesburg MM,,2,2025/01/08,Ceres+Dynabeads,5.416,13,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0012,COJ-BKF-25-02-A,Bushkoppies Final,-26.3085915,27.9320819,Gauteng,Johannesburg MM,,2,2025/01/08,Ceres+Dynabeads,0.383,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0014,Goudkoppies,Goudkoppies Wastewater Treatment Works,-26.2700368,27.9292156,Gauteng,Johannesburg MM,,2,2025/01/08,Dynabeads,0.383,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0019,ENV-SOA-GAP-EKH-HAA-25-0001,Hartebeesfontein Waterworks,-26.02255,28.2865,Gauteng,Ekurhuleni MM,,2,2025/01/07,Ceres+Dynabeads,0.768,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0020,ENV-SOA-MPP-EHL-KTR-25-0001,Kingstonvale,-25.44237,31.02512,Mpumalanga,Ehlanzeni DM,City of Mbombela Local Municipality MP,2,2025/01/06,Dynabeads,0.763,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0021,ENV-SOA-KZP-ETH-CEN-25-0001,Central Wastewater Treatment Works (KZN),-29.558427,31.139256,KwaZulu-Natal,Ethekwini MM,,2,2025/01/07,Ceres+Dynabeads,0.414,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0024,ENV-SOA-FSP-MAN-BLS-25-0001,Bloemspruit Wastewater Treatment Works,-29.124195,26.246257,Free State,Mangaung MM,,2,2025/01/07,Ceres+Dynabeads,0.414,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV-COV-25-0026,COE-TMH-25-02-A,Tembisa Hospital East and West,-25.982416,28.2346255,Gauteng,Ekurhuleni MM,,2,2025/01/09,Dynabeads,0.847,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
