,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PQ786213.1,Measles virus genotype D8,V01,MeaNS2 Case ID 150386,MVs/Wien.AUT/7.23[D8],Homo sapiens,"Austria: Vienna,Vienna",2023-02-16,16-Feb-2023,D8,Austria,"Vienna,Vienna"
PQ786212.1,Measles virus genotype D8,S22,MeaNS2 Case ID 155370,MVs/Innsbruck.AUT/11.24/8[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-03-04,04-Mar-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786211.1,Measles virus genotype D8,S21,MeaNS2 Case ID 155364,MVs/Innsbruck.AUT/11.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-03-03,03-Mar-2024,D8,Austria,"Kufstein,Tyrol"
PQ786210.1,Measles virus genotype D8,S20,MeaNS2 Case ID 155368,MVs/Innsbruck.AUT/11.24/6[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-03-02,02-Mar-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786209.1,Measles virus genotype D8,S19,MeaNS2 Case ID 155366,MVs/Innsbruck.AUT/11.24/4[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-29,29-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786208.1,Measles virus genotype D8,S18,MeaNS2 Case ID 154509,MVs/Innsbruck.AUT/07.24/11[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-18,18-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786207.1,Measles virus genotype D8,S14,MeaNS2 Case ID 154420,MVs/Kufstein.AUT/07.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-14,14-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786206.1,Measles virus genotype D8,S13,MeaNS2 Case ID 154438,MVs/Innsbruck.AUT/07.24/3[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-13,13-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786205.1,Measles virus genotype D8,S12,MeaNS2 Case ID 154437,MVs/Innsbruck.AUT/07.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-12,12-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786204.1,Measles virus genotype D8,S11,MeaNS2 Case ID 154436,MVs/Innsbruck.AUT/06.24/7[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786203.1,Measles virus genotype D8,S10,MeaNS2 Case ID 154119,MVs/Innsbruck.AUT/06.24/3[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-06,06-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786202.1,Measles virus genotype D8,S09,MeaNS2 Case ID 154118,MVs/Innsbruck.AUT/06.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-06,06-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786201.1,Measles virus genotype D8,S08,MeaNS2 Case ID 154120,MVs/Innsbruck.AUT/06.24/5[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-05,05-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786200.1,Measles virus genotype D8,S07,MeaNS2 Case ID 154109,MVs/Innsbruck.AUT/05.24/10[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-04,04-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786199.1,Measles virus genotype D8,S05,MeaNS2 Case ID 154104,MVs/Innsbruck.AUT/05.24/5[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-02,02-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786198.1,Measles virus genotype D8,S04,MeaNS2 Case ID 154113,MVs/Innsbruck.AUT/05.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-01-30,30-Jan-2024,D8,Austria,"Kufstein,Tyrol"
PQ786197.1,Measles virus genotype D8,S03,MeaNS2 Case ID 154112,MVs/Innsbruck.AUT/04.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-01-26,26-Jan-2024,D8,Austria,"Kufstein,Tyrol"
PQ786196.1,Measles virus genotype D8,S02,MeaNS2 Case ID 154114,MVs/Innsbruck.AUT/03.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-01-24,24-Jan-2024,D8,Austria,"Kufstein,Tyrol"
PQ786195.1,Measles virus genotype D8,S01,MeaNS2 Case ID 154080,MVs/Innsbruck.AUT/04.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-01-23,23-Jan-2024,D8,Austria,"Kufstein,Tyrol"
PQ786194.1,Measles virus genotype D8,N01,MeaNS2 Case ID 155513,MVs/Neunkirchen.AUT/13.24[D8],Homo sapiens,"Austria: Neunkirchen,Lower Austria",2024-03-23,23-Mar-2024,D8,Austria,"Neunkirchen,Lower Austria"
PQ786193.1,Measles virus genotype D8,K01,MeaNS2 Case ID 151128,MVs/Villach.AUT/18.23[D8],Homo sapiens,"Austria: Villach,Carinthia",2023-05-05,05-May-2023,D8,Austria,"Villach,Carinthia"
PQ786192.1,Measles virus genotype D8,G12,MeaNS2 Case ID 151122,MVs/Klagenfurt.AUT/16.23[D8],Homo sapiens,"Austria: Klagenfurt,Carinthia",2023-04-17,17-Apr-2023,D8,Austria,"Klagenfurt,Carinthia"
PQ786191.1,Measles virus genotype D8,G11,MeaNS2 Case ID 151121,MVs/Graz.AUT/14.23/5[D8],Homo sapiens,"Austria: Graz,Styria",2023-04-06,06-Apr-2023,D8,Austria,"Graz,Styria"
PQ786190.1,Measles virus genotype D8,G10,MeaNS2 Case ID 151120,MVs/Graz.AUT/14.23/4[D8],Homo sapiens,"Austria: Graz,Styria",2023-04-04,04-Apr-2023,D8,Austria,"Graz,Styria"
PQ786189.1,Measles virus genotype D8,G09,MeaNS2 Case ID 151119,MVs/Graz.AUT/14.23/3[D8],Homo sapiens,"Austria: Graz,Styria",2023-04-03,03-Apr-2023,D8,Austria,"Graz,Styria"
PQ786188.1,Measles virus genotype D8,G08,MeaNS2 Case ID 151118,MVs/Graz.AUT/14.23[D8],Homo sapiens,"Austria: Graz,Styria",2023-04-06,06-Apr-2023,D8,Austria,"Graz,Styria"
PQ786187.1,Measles virus genotype D8,G07,MeaNS2 Case ID 150925,MVs/Graz.AUT/13.23[D8],Homo sapiens,"Austria: Graz,Styria",2023-03-30,30-Mar-2023,D8,Austria,"Graz,Styria"
PQ786186.1,Measles virus genotype D8,G06,MeaNS2 Case ID 150672,MVs/Graz.AUT/12.23[D8],Homo sapiens,"Austria: Graz,Styria",2023-03-12,12-Mar-2023,D8,Austria,"Graz,Styria"
PQ786185.1,Measles virus genotype D8,G05,MeaNS2 Case ID 150660,MVs/Graz.AUT/11.23/3[D8],Homo sapiens,"Austria: Graz,Styria",2023-03-08,08-Mar-2023,D8,Austria,"Graz,Styria"
PQ786184.1,Measles virus genotype D8,G04,MeaNS2 Case ID 150652,MVs/Graz.AUT/9.23/12[D8],Homo sapiens,"Austria: Graz,Styria",2023-02-27,27-Feb-2023,D8,Austria,"Graz,Styria"
PQ786183.1,Measles virus genotype D8,G03,MeaNS2 Case ID 150453,MVs/Graz.AUT/8.23/2[D8],Homo sapiens,"Austria: Graz,Styria",2023-02-16,16-Feb-2023,D8,Austria,"Graz,Styria"
PQ786182.1,Measles virus genotype D8,G02,MeaNS2 Case ID 150452,MVs/Graz.AUT/8.23[D8],Homo sapiens,"Austria: Graz,Styria",2023-02-15,15-Feb-2023,D8,Austria,"Graz,Styria"
PQ786181.1,Measles virus genotype D8,G01,MeaNS2 Case ID 150314,MVs/Graz.AUT/5.23[D8],Homo sapiens,"Austria: Graz,Styria",2023-01-24,24-Jan-2023,D8,Austria,"Graz,Styria"
PQ786180.1,Measles virus genotype D8,F02,MeaNS2 Case ID 155255,MVs/Feldkirch.AUT/10.24/5[D8],Homo sapiens,"Austria: Feldkirch,Vorarlberg",2024-02-27,27-Feb-2024,D8,Austria,"Feldkirch,Vorarlberg"
PQ786178.1,Measles virus genotype D8,1703156D8,MeaNS2 Case ID 155396,MVs/Wien.AUT/12.24/3[D8],Homo sapiens,Austria: Vienna,2024-03-13,13-Mar-2024,D8,Austria,Vienna
PQ786177.1,Measles virus genotype D8,1702580D8,MeaNS2 Case ID 155374,MVs/Wien.AUT/12.24[D8],Homo sapiens,Austria: Vienna,2024-03-11,11-Mar-2024,D8,Austria,Vienna
PQ786176.1,Measles virus genotype D8,1700190D8,MeaNS2 Case ID 155344,MVs/Wien.AUT/11.24/2[D8],Homo sapiens,Austria: Vienna,2024-03-09,09-Mar-2024,D8,Austria,Vienna
PQ786175.1,Measles virus genotype D8,1699565D8,MeaNS2 Case ID 155330,MVs/Wien.AUT/10.24/3[D8],Homo sapiens,Austria: Vienna,2024-03-07,07-Mar-2024,D8,Austria,Vienna
PQ786174.1,Measles virus genotype D8,1698145D8,MeaNS2 Case ID 155247,MVs/Wien.AUT/09.24/11[D8],Homo sapiens,Austria: Vienna,2024-03-01,01-Mar-2024,D8,Austria,Vienna
PQ786173.1,Measles virus genotype D8,1697559D8,MeaNS2 Case ID 155241,MVs/Wien.AUT/09.24/7[D8],Homo sapiens,Austria: Vienna,2024-02-26,26-Feb-2024,D8,Austria,Vienna
PQ786172.1,Measles virus genotype D8,1696641D8,MeaNS2 Case ID 155149,MVs/Wien.AUT/09.24/2[D8],Homo sapiens,Austria: Vienna,2024-02-28,28-Feb-2024,D8,Austria,Vienna
PQ786171.1,Measles virus genotype D8,1696640D8,MeaNS2 Case ID 155148,MVs/Wien.AUT/09.24[D8],Homo sapiens,Austria: Vienna,2024-02-28,28-Feb-2024,D8,Austria,Vienna
PQ786170.1,Measles virus genotype D8,1695875D8,MeaNS2 Case ID 155131,MVs/Wien.AUT/08.24/7[D8],Homo sapiens,Austria: Vienna,2024-02-26,26-Feb-2024,D8,Austria,Vienna
PQ786169.1,Measles virus genotype D8,1695559D8,MeaNS2 Case ID 155124,MVs/Wien.AUT/08.24/3[D8],Homo sapiens,Austria: Vienna,2024-02-19,19-Feb-2024,D8,Austria,Vienna
PQ786168.1,Measles virus genotype D8,1695392D8,MeaNS2 Case ID 155126,MVs/Wien.AUT/08.24/2[D8],Homo sapiens,Austria: Vienna,2024-02-24,24-Feb-2024,D8,Austria,Vienna
PQ786167.1,Measles virus genotype D8,1694297D8,MeaNS2 Case ID 154500,MVs/Wien.AUT/07.24/4[D8],Homo sapiens,Austria: Vienna,2024-02-17,17-Feb-2024,D8,Austria,Vienna
PQ786166.1,Measles virus genotype D8,1690656D8,MeaNS2 Case ID 154406,MVs/Wien.AUT/06.24/9[D8],Homo sapiens,Austria: Vienna,2024-02-10,10-Feb-2024,D8,Austria,Vienna
PQ786165.1,Measles virus genotype D8,1690380D8,MeaNS2 Case ID 154393,MVs/Wien.AUT/06.24/8[D8],Homo sapiens,Austria: Vienna,2024-02-08,08-Feb-2024,D8,Austria,Vienna
PQ786164.1,Measles virus genotype D8,1690258D8,MeaNS2 Case ID 154392,MVs/Wien.AUT/06.24/7[D8],Homo sapiens,Austria: Vienna,2024-02-06,06-Feb-2024,D8,Austria,Vienna
PQ786163.1,Measles virus genotype D8,1690256D8,MeaNS2 Case ID 154390,MVs/Wien.AUT/06.24/5[D8],Homo sapiens,Austria: Vienna,2024-02-07,07-Feb-2024,D8,Austria,Vienna
PQ786162.1,Measles virus genotype D8,1690255D8,MeaNS2 Case ID 154389,MVs/Wien.AUT/06.24/4[D8],Homo sapiens,Austria: Vienna,2024-02-07,07-Feb-2024,D8,Austria,Vienna
PQ786161.1,Measles virus genotype D8,1688389D8,MeaNS2 Case ID 154095,MVs/Wien.AUT/04.24/12[D8],Homo sapiens,Austria: Vienna,2024-01-24,24-Jan-2024,D8,Austria,Vienna
PQ786160.1,Measles virus genotype D8,1687793D8,MeaNS2 Case ID 154093,MVs/Wien.AUT/05.24/4[D8],Homo sapiens,Austria: Vienna,2024-02-02,02-Feb-2024,D8,Austria,Vienna
PQ786159.1,Measles virus genotype D8,1687289D8,MeaNS2 Case ID 154090,MVs/Wien.AUT/04.24/10[D8],Homo sapiens,Austria: Vienna,2024-01-26,26-Jan-2024,D8,Austria,Vienna
PQ786158.1,Measles virus genotype D8,1686038D8,MeaNS2 Case ID 154073,MVs/Wien.AUT/05.24/2[D8],Homo sapiens,Austria: Vienna,2024-01-29,29-Jan-2024,D8,Austria,Vienna
PQ786157.1,Measles virus genotype D8,1685659D8,MeaNS2 Case ID 154066,MVs/Wien.AUT/04.24/2[D8],Homo sapiens,Austria: Vienna,2024-01-22,22-Jan-2024,D8,Austria,Vienna
PQ786156.1,Measles virus genotype D8,1685658D8,MeaNS2 Case ID 154065,MVs/Wien.AUT/04.24[D8],Homo sapiens,Austria: Vienna,2024-01-26,26-Jan-2024,D8,Austria,Vienna
PQ786155.1,Measles virus genotype D8,1682462D8,MeaNS2 Case ID 153708,MVs/Wien.AUT/02.24/2[D8],Homo sapiens,Austria: Vienna,2024-01-13,13-Jan-2024,D8,Austria,Vienna
PQ786154.1,Measles virus genotype D8,1676777D8,MeaNS2 Case ID 153426,MVs/Wien.AUT/51.23[D8],Homo sapiens,Austria: Vienna,2023-12-20,20-Dec-2023,D8,Austria,Vienna
PQ786153.1,Measles virus genotype D8,1675632D8,MeaNS2 Case ID 153386,MVs/Wien.AUT/50.23/5[D8],Homo sapiens,Austria: Vienna,2023-12-14,14-Dec-2023,D8,Austria,Vienna
PQ786152.1,Measles virus genotype D8,1674654D8,MeaNS2 Case ID 153385,MVs/Wien.AUT/49.23/3[D8],Homo sapiens,Austria: Vienna,2023-12-08,08-Dec-2023,D8,Austria,Vienna
PQ786151.1,Measles virus genotype D8,1667018D8,MeaNS2 Case ID 153007,MVs/Wien.AUT/46.23/2[D8],Homo sapiens,Austria: Vienna,2023-11-18,18-Nov-2023,D8,Austria,Vienna
PQ786150.1,Measles virus genotype D8,1666474D8,MeaNS2 Case ID 153006,MVs/Wien.AUT/46.23[D8],Homo sapiens,Austria: Vienna,2023-11-16,16-Nov-2023,D8,Austria,Vienna
PQ786149.1,Measles virus genotype D8,1664317D8,MeaNS2 Case ID 152994,MVs/Wien.AUT/45.23/3[D8],Homo sapiens,Austria: Vienna,2023-11-11,11-Nov-2023,D8,Austria,Vienna
PQ786148.1,Measles virus genotype D8,1664316D8,MeaNS2 Case ID 152993,MVs/Wien.AUT/45.23/2[D8],Homo sapiens,Austria: Vienna,2023-11-08,08-Nov-2023,D8,Austria,Vienna
PQ786147.1,Measles virus genotype D8,1664315D8,MeaNS2 Case ID 152992,MVs/Wien.AUT/45.23[D8],Homo sapiens,Austria: Vienna,2023-11-10,10-Nov-2023,D8,Austria,Vienna
OP609668.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/8.20/[D8],Homo sapiens,China,2020-02-17,17-Feb-2020,D8,China,
OP609667.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/7.20/[D8],Homo sapiens,China,2020-02-16,16-Feb-2020,D8,China,
OP609666.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/6.20/[D8],Homo sapiens,China,2020-02-07,07-Feb-2020,D8,China,
OP609665.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/5.20/3[D8],Homo sapiens,China,2020-02-02,02-Feb-2020,D8,China,
OP609664.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/5.20/2[D8],Homo sapiens,China,2020-02-01,01-Feb-2020,D8,China,
OP609663.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/5.20/[D8],Homo sapiens,China,2020-01-23,23-Jan-2020,D8,China,
OP609662.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/4.20/3[D8],Homo sapiens,China,2020-01-22,22-Jan-2020,D8,China,
OP609661.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/4.20/2[D8],Homo sapiens,China,2020-01-21,21-Jan-2020,D8,China,
OP609660.1,Measles virus genotype D8,,genotype: D8,MVi/Hebei.CHN/3.20/[D8],Homo sapiens,China,2020-01-17,17-Jan-2020,D8,China,
OP609659.1,Measles virus genotype D8,,genotype: D8,MVi/sichuan.CHN/37.19/[D8],Homo sapiens,China,2019-09-15,15-Sep-2019,D8,China,
OP609658.1,Measles virus genotype D8,,genotype: D8,MVi/sichuan.CHN/35.19/[D8],Homo sapiens,China,2019-09-01,01-Sep-2019,D8,China,
OP609657.1,Measles virus genotype D8,,genotype: D8,MVi/Shanghai.CHN/27.19/[D8],Homo sapiens,China,2019-07-01,01-Jul-2019,D8,China,
OP609656.1,Measles virus genotype D8,,genotype: D8,MVs/Shandong.CHN/20.19/4[D8],Homo sapiens,China,2019-05-15,15-May-2019,D8,China,
OP609655.1,Measles virus genotype D8,,genotype: D8,MVs/Shandong.CHN/20.19/3[D8],Homo sapiens,China,2019-05-13,13-May-2019,D8,China,
OP609654.1,Measles virus genotype D8,,genotype: D8,MVs/Shandong.CHN/18.19/[D8],Homo sapiens,China,2019-04-29,29-Apr-2019,D8,China,
OP609653.1,Measles virus genotype D8,,genotype: D8,MVs/Shandong.CHN/17.19/3[D8],Homo sapiens,China,2019-04-27,27-Apr-2019,D8,China,
OP609652.1,Measles virus genotype D8,,genotype: D8,MVi/Jiangxi.CHN/13.19/[D8],Homo sapiens,China,2019-03-31,31-Mar-2019,D8,China,
OP609651.1,Measles virus genotype D8,,genotype: D8,MVi/Shanghai.CHN/46.18/[D8],Homo sapiens,China,2018-11-11,11-Nov-2018,D8,China,
OP609650.1,Measles virus genotype D8,,genotype: D8,MVi/Liaoning.CHN/18.18/[D8],Homo sapiens,China,2018-05-01,01-May-2018,D8,China,
OP609649.1,Measles virus genotype D8,,genotype: D8,MVi/Heilongjiang.CHN/12.18/[D8],Homo sapiens,China,2018-03-21,21-Mar-2018,D8,China,
OP609648.1,Measles virus genotype D8,,genotype: D8,MVi/Shanxi.CHN/12.18/[D8],Homo sapiens,China,2018-03-21,21-Mar-2018,D8,China,
OP609647.1,Measles virus genotype D8,,genotype: D8,MVs/Shandong.CHN/12.18/[D8],Homo sapiens,China,2018-03-20,20-Mar-2018,D8,China,
PQ590060.1,Measles virus genotype D8,LEIAL3378,genotype: D8,MVs/SaoPaulo.BRA/41.24[D8],Homo sapiens,"Brazil: Sao Paulo, Sao Paulo",2024-10-11,11-Oct-2024,D8,Brazil,"Sao Paulo, Sao Paulo"
PQ481507.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Quebec.CAN/25.19/3[D8],Homo sapiens,Canada,2019-07-01,2019-07-01,D8,Canada,
PQ481506.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/21.19[D8],Homo sapiens,Canada,2019-06-02,2019-06-02,D8,Canada,
PQ481505.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/New Brunswick.CAN/20.19/7[D8],Homo sapiens,Canada,2019-05-26,2019-05-26,D8,Canada,
PQ481504.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/18.19[D8],Homo sapiens,Canada,2019-05-17,2019-05-17,D8,Canada,
PQ453569.1,Measles virus genotype D8,,genotype: D8,MVs/LonsLeSaunier.FRA/52.23[D8],Homo sapiens,France,2023-12-29,29-Dec-2023,D8,France,
PQ287424.1,Measles virus genotype B3,,ribosomal_slippage,MVs/Den Haag.NLD/24.18[B3],Homo sapiens,Netherlands,2018-06-14,14-Jun-2018,B3,Netherlands,
PQ287423.1,Measles virus genotype B3,,ribosomal_slippage,MVi/Sint-Michielsgestel.NLD/23.18[B3],Homo sapiens,Netherlands,2018-06-06,06-Jun-2018,B3,Netherlands,
PQ287422.1,Measles virus genotype D8,,ribosomal_slippage,MVi/Flevoland.NLD/26.19[D8],Homo sapiens,Netherlands,2019-06-26,26-Jun-2019,D8,Netherlands,
PQ287421.1,Measles virus genotype D8,,ribosomal_slippage,MVi/Zwolle.NLD/22.19[D8],Homo sapiens,Netherlands,2019-05-29,29-May-2019,D8,Netherlands,
PQ287420.1,Measles virus genotype B3,,ribosomal_slippage,MVi/Gelderland.NLD/45.22[B3],Homo sapiens,Netherlands,2022-11-11,11-Nov-2022,B3,Netherlands,
LC848731.1,Measles virus genotype D8,,,MVi/KobeC.JPN/32.24/174[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
LC848730.1,Measles virus genotype D8,,,MVs/KobeC.JPN/32.24/174[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
LC848729.1,Measles virus genotype D8,,,MVi/KobeC.JPN/32.24/170[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
LC848728.1,Measles virus genotype D8,,,MVs/KobeC.JPN/32.24/170[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
LC848727.1,Measles virus genotype D8,,,MVi/KobeC.JPN/31.24/157[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
LC848726.1,Measles virus genotype D8,,,MVs/KobeC.JPN/31.24/157[D8],Homo sapiens,Japan: Kobe,2024-01-01,2024,D8,Japan,Kobe
PP998308.1,Measles virus genotype D8,4176/2024,P,MVs/Hetenyegyhaza/19.24[D8],Homo sapiens,Hungary,2024-05-24,24-May-2024,D8,Hungary,
PP998307.1,Measles virus genotype D8,4172/2024,P,MVs/Melykut.HUN/19.24[D8],Homo sapiens,Hungary,2024-05-14,14-May-2024,D8,Hungary,
PP998306.1,Measles virus genotype D8,4069/2024,P,MVs/Kunfeherto.HUN/19.23[D8],Homo sapiens,Hungary,2024-05-09,09-May-2024,D8,Hungary,
PP998305.1,Measles virus genotype D8,2312/2024,P,MVs/Melykut.HUN/12.24[D8],Homo sapiens,Hungary,2024-03-22,22-Mar-2024,D8,Hungary,
PP887450.1,Measles virus genotype D8,3054/2023,genotype: D8,MVs/Szeged.HUN/27.23[D8],Homo sapiens,Hungary,2023-07-10,10-Jul-2023,D8,Hungary,
PP868388.1,Measles virus genotype D8,QLD_1729S_2024,"patient travel in India;
genotype: D8",MVs/Queensland.AUS/04.24[D8],Homo sapiens,Australia: Queensland,2024-01-01,2024,D8,Australia,Queensland
OR750917.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/7.19[B3],Homo sapiens,Canada,2019-02-18,2019-02-18,B3,Canada,
OQ096339.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/12.19[B3],Homo sapiens,Canada,2019-03-29,2019-03-29,B3,Canada,
OQ096338.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Quebec.CAN/23.19[D8],Homo sapiens,Canada,2019-06-16,2019-06-16,D8,Canada,
OQ096337.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/19.18[D8],Homo sapiens,Canada,2018-05-12,2018-05-12,D8,Canada,
OQ096336.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/22.18/2[D8],Homo sapiens,Canada,2018-06-03,2018-06-03,D8,Canada,
OQ096335.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/22.18[D8],Homo sapiens,Canada,2018-05-31,2018-05-31,D8,Canada,
OQ096334.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/23.18[D8],Homo sapiens,Canada,2018-06-08,2018-06-08,D8,Canada,
OQ096333.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/27.18[D8],Homo sapiens,Canada,2018-07-11,2018-07-11,D8,Canada,
OQ096332.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/4.18[D8],Homo sapiens,Canada,2018-01-25,2018-01-25,D8,Canada,
OQ096331.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Alberta.CAN/4.20[D8],Homo sapiens,Canada,2020-02-03,2020-02-03,D8,Canada,
OQ096330.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Britih_Columbia.CAN/44.18[B3],Homo sapiens,Canada,2018-11-05,2018-11-05,B3,Canada,
OQ096329.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/10.19[D8],Homo sapiens,Canada,2019-03-19,2019-03-19,D8,Canada,
OQ096328.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/11.19[D8],Homo sapiens,Canada,2019-03-20,2019-03-20,D8,Canada,
OQ096327.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/12.19/2[D8],Homo sapiens,Canada,2019-03-31,2019-03-31,D8,Canada,
OQ096326.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/12.19/3[D8],Homo sapiens,Canada,2019-04-02,2019-04-02,D8,Canada,
OQ096325.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/12.19[B3],Homo sapiens,Canada,2019-03-29,2019-03-29,B3,Canada,
OQ096324.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/13.19[D8],Homo sapiens,Canada,2019-04-03,2019-04-03,D8,Canada,
OQ096323.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/14.19[D8],Homo sapiens,Canada,2019-04-15,2019-04-15,D8,Canada,
OQ096322.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/25.18[B3],Homo sapiens,Canada,2018-06-25,2018-06-25,B3,Canada,
OQ096321.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/26.19[B3],Homo sapiens,Canada,2019-07-05,2019-07-05,B3,Canada,
OQ096320.1,Measles virus genotype B3,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/29.19[B3],Homo sapiens,Canada,2019-07-25,2019-07-25,B3,Canada,
OQ096319.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/3.19[D8],Homo sapiens,Canada,2019-01-21,2019-01-21,D8,Canada,
OQ096318.1,Measles virus genotype D8,,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/British_Columbia.CAN/34.18[D8],Homo sapiens,Canada,2018-08-22,2018-08-22,D8,Canada,
