,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PX308142.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308141.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/3[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308140.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/4[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308139.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/5[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308138.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/2[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308137.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/6[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PV872555.1,Measles virus genotype D8,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",Mvs/Rome.ITA/3.24/13[D8],Homo sapiens,Italy,2024-01-16,16-Jan-2024,D8,Italy,
PV872554.1,Measles virus genotype D8,,"large subunit of RNA dependent RNA polymerase (RdRp); RNA synthesis, capping, and polyadenylation",Mvs/Rome.ITA/3.24/14[D8],Homo sapiens,Italy,2024-01-18,18-Jan-2024,D8,Italy,
PQ394296.1,Measles virus genotype D8,INMI-MeV-Pt12-2024,large polymerase protein,MVs/Rome.ITA/10.24/12[D8],Homo sapiens,Italy,2024-03-04,04-Mar-2024,D8,Italy,
PQ394295.1,Measles virus genotype D8,INMI-MeV-Pt11-2024,large polymerase protein,MVs/Rome.ITA/9.24/11[D8],Homo sapiens,Italy,2024-03-03,03-Mar-2024,D8,Italy,
PQ394294.1,Measles virus genotype D8,INMI-MeV-Pt10-2024,large polymerase protein,MVs/Rome.ITA/9.24/10[D8],Homo sapiens,Italy,2024-02-29,29-Feb-2024,D8,Italy,
PQ394293.1,Measles virus genotype D8,INMI-MeV-Pt09-2024,large polymerase protein,MVs/Rome.ITA/9.24/09[D8],Homo sapiens,Italy,2024-02-29,29-Feb-2024,D8,Italy,
PQ394292.1,Measles virus genotype D8,INMI-MeV-Pt08-2024,large polymerase protein,MVs/Rome.ITA/9.24/08[D8],Homo sapiens,Italy,2024-02-28,28-Feb-2024,D8,Italy,
PQ394291.1,Measles virus genotype D8,INMI-MeV-Pt07-2024,large polymerase protein,MVs/Rome.ITA/8.24/07[D8],Homo sapiens,Italy,2024-02-24,24-Feb-2024,D8,Italy,
PQ394290.1,Measles virus genotype D8,INMI-MeV-Pt06-2024,large polymerase protein,MVs/Rome.ITA/8.24/06[D8],Homo sapiens,Italy,2024-02-22,22-Feb-2024,D8,Italy,
PQ394289.1,Measles virus genotype D8,INMI-MeV-Pt05-2024,large polymerase protein,MVs/Rome.ITA/6.24/03[D8],Homo sapiens,Italy,2024-02-11,11-Feb-2024,D8,Italy,
PQ394288.1,Measles virus genotype D8,INMI-MeV-Pt04-2024,large polymerase protein,MVs/Rome.ITA/7.24/05[D8],Homo sapiens,Italy,2024-02-13,13-Feb-2024,D8,Italy,
PQ394287.1,Measles virus genotype D8,INMI-MeV-Pt03-2024,large polymerase protein,MVs/Rome.ITA/7.24/04[D8],Homo sapiens,Italy,2024-02-12,12-Feb-2024,D8,Italy,
PQ394286.1,Measles virus genotype D8,INMI-MeV-Pt02-2023,large polymerase protein,MVs/Rome.ITA/51.23/02[D8],Homo sapiens,Italy,2023-12-18,18-Dec-2023,D8,Italy,
PQ394285.1,Measles virus genotype D8,INMI-MeV-Pt01-2023,large polymerase protein,MVs/Rome.ITA/49.23/01[D8],Homo sapiens,Italy,2023-12-06,06-Dec-2023,D8,Italy,
PX121936.1,Measles virus genotype D8,UT-UPHL-250801074149,genotype: D8,MVs/Utah.USA/27.25[D8],Homo sapiens,USA: Utah,2025-07-01,2025-07-01,D8,USA,Utah
PX121935.1,Measles virus genotype D8,UT-UPHL-250710917958,genotype: D8,MVs/Utah.USA/23.25/5[D8],Homo sapiens,USA: Utah,2025-06-01,2025-06-01,D8,USA,Utah
PX121934.1,Measles virus genotype D8,UT-UPHL-250710861575,genotype: D8,MVs/Utah.USA/23.25[D8],Homo sapiens,USA: Utah,2025-06-01,2025-06-01,D8,USA,Utah
PX121932.1,Measles virus genotype D8,UT-UPHL-250610707762,genotype: D8,MVs/Utah.USA/23.25/4[D8],Homo sapiens,USA: Utah,2025-06-01,2025-06-01,D8,USA,Utah
PX121931.1,Measles virus genotype D8,UT-UPHL-250610425721,genotype: D8,MVs/Utah.USA/23.25/2[D8],Homo sapiens,USA: Utah,2025-06-01,2025-06-01,D8,USA,Utah
PV948898.1,Measles virus genotype A,MMR25-0202,M-F NCR hypervariable region; M-F intergenic spacer with M stop codon and F start codon,MVs/Ontario.CAN/5.25/10[A],Homo sapiens,Canada,2025-02-10,2025-02-10,A,Canada,
PV931737.1,Measles virus genotype B3,CA-LACPHL-FA00004,polymerase protein; mRNA guanylyl- and methyltransferases; methylation,MVs/California.USA/23.25[B3],Homo sapiens,USA: California,2025-06-02,2025-06-02,B3,USA,California
PV931736.1,Measles virus genotype B3,CA-LACPHL-FA00003,polymerase protein; mRNA guanylyl- and methyltransferases; methylation,MVs/California.USA/18.25[B3],Homo sapiens,USA: California,2025-04-28,2025-04-28,B3,USA,California
PV890912.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/15.25/2[B3],Homo sapiens,Netherlands,2025-04-13,13-Apr-2025,B3,Netherlands,
PV890911.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/36.24[B3],Homo sapiens,Netherlands,2024-09-01,Sep-2024,B3,Netherlands,
PV890910.1,Measles virus genotype B3,,genotype: B3,MVs/Gelderland.NLD/35.24[B3],Homo sapiens,Netherlands,2024-09-01,01-Sep-2024,B3,Netherlands,
PV890909.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/38.24[B3],Homo sapiens,Netherlands,2024-09-16,16-Sep-2024,B3,Netherlands,
PV890908.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/36.24[B3],Homo sapiens,Netherlands,2024-09-03,03-Sep-2024,B3,Netherlands,
PV890907.1,Measles virus genotype B3,,genotype: B3,MVs/Utrecht.NLD/47.24[B3],Homo sapiens,Netherlands,2024-11-20,20-Nov-2024,B3,Netherlands,
PV890906.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/3.25[B3],Homo sapiens,Netherlands,2025-01-22,22-Jan-2025,B3,Netherlands,
PV890905.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/3.25/2[B3],Homo sapiens,Netherlands,2025-01-26,26-Jan-2025,B3,Netherlands,
PV890904.1,Measles virus genotype B3,,genotype: B3,MVs/Gelderland.NLD/3.25[B3],Homo sapiens,Netherlands,2025-01-20,20-Jan-2025,B3,Netherlands,
PV890903.1,Measles virus genotype B3,,genotype: B3,MVs/Gelderland.NLD/3.25/2[B3],Homo sapiens,Netherlands,2025-01-22,22-Jan-2025,B3,Netherlands,
PV890902.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/5.25[B3],Homo sapiens,Netherlands,2025-02-04,04-Feb-2025,B3,Netherlands,
PV890901.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/2.25/2[B3],Homo sapiens,Netherlands,2025-01-01,Jan-2025,B3,Netherlands,
PV890900.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/11.25/3[B3],Homo sapiens,Netherlands,2025-03-01,Mar-2025,B3,Netherlands,
PV890899.1,Measles virus genotype B3,,genotype: B3,MVs/Flevoland.NLD/11.25/2[B3],Homo sapiens,Netherlands,2025-03-16,16-Mar-2025,B3,Netherlands,
PV890898.1,Measles virus genotype B3,,genotype: B3,MVs/Gelderland.NLD/12.25[B3],Homo sapiens,Netherlands,2025-03-24,24-Mar-2025,B3,Netherlands,
PV890897.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/13.25/5[B3],Homo sapiens,Netherlands,2025-03-27,27-Mar-2025,B3,Netherlands,
PV890896.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/17.25/9[B3],Homo sapiens,Netherlands,2025-04-21,21-Apr-2025,B3,Netherlands,
PV890895.1,Measles virus genotype B3,,genotype: B3,MVs/Noord-Holland.NLD/17.25/3[B3],Homo sapiens,Netherlands,2025-04-01,Apr-2025,B3,Netherlands,
PV890894.1,Measles virus genotype B3,,genotype: B3,MVs/Gelderland.NLD/17.25/2[B3],Homo sapiens,Netherlands,2025-04-27,27-Apr-2025,B3,Netherlands,
PV890893.1,Measles virus genotype B3,,genotype: B3,MVs/Zuid-Holland.NLD/14.25/6[B3],Homo sapiens,Netherlands,2025-03-31,31-Mar-2025,B3,Netherlands,
