	summarized	lineages	abundances	resid	coverage
CST-WGS-25-0229_S78.tsv	[('Other', 0.9999999999991556)]	MEASLESgenome-B3	1.00000000	6.350651269476401	4.970429092739399
NAT_WGS_25_0593_S149.tsv	[('Other', 0.9999999999995337)]	MEASLESgenome-D8	1.00000000	25.619505979251265	48.40820435384422
CST-WGS-25-0332_S68.tsv	[('Other', 0.9999999999999535)]	MEASLESgenome-B3	1.00000000	35.84867174596792	58.5126462816157
ENV_COV_25_0012_03_S54.tsv	[('Other', 0.9999999999994432)]	MEASLESgenome-B3	1.00000000	30.14597333993494	60.50081791871146
CST-WGS-25-0402_S70.tsv	[('Other', 0.999999999990085)]	MEASLESgenome-D8 MEASLESgenome-B3	0.79069800 0.20930200	87.86925349106346	65.11262111488612
ART_MEV_24_2262_D_S83.tsv	[('Other', 0.9999999999996596)]	MEASLESgenome-B3	1.00000000	19.020779681848587	36.08909022272556
NAT_WGS_25_0568_S143.tsv	[('Other', 0.9999999999998971)]	MEASLESgenome-D8	1.00000000	26.80069843062727	45.87265634830754
ART_MEV_24_2250_D_S80.tsv	[('Other', 0.9999999999817389)]	MEASLESgenome-B3	1.00000000	37.94165987013647	65.42091355228388
NAT-WGS-25-0664_S110.tsv	[('Other', 0.9999999999996313)]	MEASLESgenome-D8	1.00000000	40.17881197139566	70.72480181200453
NAT_WGS_25_0077_S12.tsv	[('Other', 0.9998780000235926)]	MEASLESgenome-B3	0.99987800	54.76779207324773	90.77639360765069
ENV_COV_25_0019_05_S56.tsv	[('Other', 0.9999999999851303)]	MEASLESgenome-B3	1.00000000	5.965063173222094	9.594815653705801
CST_WGS_25_0828_S142.tsv	[('Other', 0.9999999999999506)]	MEASLESgenome-B3	1.00000000	38.38685054164209	23.606392349314206
CST_WGS_25_0856_S146.tsv	[('Other', 0.9999999999702666)]	MEASLESgenome-D8	1.00000000	49.69012901434606	75.20447967786586
NAT_WGS_25_0514_S135.tsv	[('Other', 0.9999999999999913)]	MEASLESgenome-D8	1.00000000	1.6009565770754137	6.851642129105323
ART_MEV_24_2283_D_S86.tsv	[('Other', 0.9999999999999811)]	MEASLESgenome-B3	1.00000000	54.11842312988399	87.33484333710834
ART_MEV_24_2254_D_S81.tsv	[('Other', 0.9999999999999524)]	MEASLESgenome-B3	1.00000000	34.80040575923057	41.059519315464954
CST-WGS-25-0510_S71.tsv	[('Other', 0.9999999999999304)]	MEASLESgenome-D8	1.00000000	53.14614641170465	86.7937586510633
ENV_COV_25_0056_02_S120.tsv	[('Other', 0.9998480001093062)]	MEASLESgenome-B3	0.99984800	7.093632200321078	7.5814772870265505
CST_WGS_25_0887_S148.tsv	[('Other', 0.9999999999999752)]	MEASLESgenome-D8	1.00000000	5.444462745993665	9.468982005788348
ENV_COV_25_0058_3_S57.tsv	[('Other', 0.9998115418955976)]	MEASLESgenome-B3	0.99981154	46.716732156470734	54.699886749716875
ENV_COV_25_0029_09_S60.tsv	[('Other', 0.9996910003961931)]	MEASLESgenome-B3	0.99969100	79.33543491424217	96.71574178935447
CST_WGS_25_0177_S14.tsv	[('Other', 0.999879000153022)]	MEASLESgenome-B3	0.99987900	65.7122912363785	94.82194538819681
CST_WGS_25_0729_S129.tsv	[('Other', 0.9999999999995709)]	MEASLESgenome-D8	1.00000000	26.792775497342596	53.686925883981374
ART_MEV_24_2250_C_S73.tsv	[('Other', 0.9999999999989018)]	MEASLESgenome-B3	1.00000000	50.30298829727083	86.84409211023028
CST_WGS_25_1031_S100.tsv	[('Other', 1.0000000000000004)]	MEASLESgenome-D8	1.00000000	5.791907385690804	6.776141940354851
ENV_COV_25_0030_10_S61.tsv	[('Other', 0.9999999999992919)]	MEASLESgenome-B3	1.00000000	63.38551262732429	91.42443689442557
ENV_COV_25_0024_08_S59.tsv	[('Other', 0.9999999999999867)]	MEASLESgenome-D8	1.00000000	17.557262816472175	26.74594186485466
