	summarized	lineages	abundances	resid	coverage
GCA_031112925.1_0.9_GCA_031128185.1_0.1_variants.tsv	[('Other', 0.999999999945862)]	MEASLESgenome-A MEASLESgenome-H1	0.94300520 0.05699480	34.09495906175374	92.69535673839185
GCA_031128155.1_1_GCA_031128165.1_0_variants.tsv	[('Other', 0.9999999999943358)]	MEASLESgenome-B3	1.00000000	24.560379302014816	75.80848118786963
GCA_031128135.1_0.6_GCA_031129565.1_0.4_variants.tsv	[('Other', 0.9999999999928715)]	MEASLESgenome-D5 MEASLESgenome-D9	0.61016900 0.38983100	64.08970935524232	95.15540455517805
GCA_031128145.1_0.4_GCA_031129565.1_0.6_variants.tsv	[('Other', 0.9999999996555464)]	MEASLESgenome-D9 MEASLESgenome-D8	0.60000000 0.40000000	88.51772410942513	94.05436013590034
GCA_031128155.1_0.8_GCA_031128185.1_0.2_variants.tsv	[('Other', 0.9999999994022641)]	MEASLESgenome-B3 MEASLESgenome-H1	0.81818200 0.18181800	108.86406696060615	84.9502957090726
GCA_031128155.1_0.5_GCA_031128185.1_0.5_variants.tsv	[('Other', 0.9999999993020474)]	MEASLESgenome-B3 MEASLESgenome-H1	0.50000000 0.50000000	139.01724915795774	83.67308418271045
GCA_031128135.1_0.2_GCA_031128145.1_0.8_variants.tsv	[('Other', 0.9999999990547486)]	MEASLESgenome-D8 MEASLESgenome-D5	0.80645200 0.19354800	55.753756092522806	93.77123442808607
GCA_031128145.1_0.9_GCA_031129565.1_0.1_variants.tsv	[('Other', 0.9999999989530148)]	MEASLESgenome-D8 MEASLESgenome-D9	0.93103400 0.06896600	61.7706667164731	91.70127091984396
GCA_031128115.1_0_GCA_031128145.1_1_variants.tsv	[('Other', 0.9999999999651787)]	MEASLESgenome-D8	1.00000000	31.73787897680699	84.9502957090726
GCA_031112925.1_0.2_GCA_031128185.1_0.8_variants.tsv	[('Other', 0.9999999998348089)]	MEASLESgenome-H1 MEASLESgenome-A	0.76470600 0.23529400	121.54470665811326	89.27268151503712
GCA_031128155.1_0_GCA_031128185.1_1_variants.tsv	[('Other', 0.9999999999947301)]	MEASLESgenome-H1	1.00000000	38.09122385947258	67.03158424562729
GCA_031128155.1_0.7_GCA_031128145.1_0.3_variants.tsv	[('Other', 0.9999999996621564)]	MEASLESgenome-B3 MEASLESgenome-D8 MEASLESgenome-D6	0.66666700 0.31818200 0.01515100	98.52012188334251	88.34780420284385
GCA_031128135.1_0.8_GCA_031128185.1_0.2_variants.tsv	[('Other', 1.0000000000081264)]	MEASLESgenome-D5 MEASLESgenome-H1	0.84810100 0.15189900	70.31195946445625	92.10393859317982
GCA_031128165.1_1_GCA_031128185.1_0_variants.tsv	[('Other', 0.9999999999236365)]	MEASLESgenome-D3	1.00000000	40.116216631586454	93.9285264879829
GCA_031112925.1_0.3_GCA_031128165.1_0.7_variants.tsv	[('Other', 0.9999999999908465)]	MEASLESgenome-D3 MEASLESgenome-A	0.70000000 0.30000000	50.8502703859393	95.86636466591166
GCA_031128135.1_0.5_GCA_031128185.1_0.5_variants.tsv	[('Other', 0.9999999999565861)]	MEASLESgenome-D5 MEASLESgenome-H1	0.54545500 0.45454500	134.2626423678804	91.65093746067699
GCA_031128155.1_0.2_GCA_031128145.1_0.8_variants.tsv	[('Other', 0.999999996213773)]	MEASLESgenome-D8 MEASLESgenome-B3 MEASLESgenome-D11	0.82926800 0.16931208 0.00141992	77.29604784458616	88.77563860576318
GCA_031112925.1_0.7_GCA_031128185.1_0.3_variants.tsv	[('Other', 0.9999999999817355)]	MEASLESgenome-A MEASLESgenome-H1	0.77777800 0.22222200	70.84300864202666	92.24235560588902
GCA_031112925.1_0.8_GCA_031128145.1_0.2_variants.tsv	[('Other', 0.9999999999438249)]	MEASLESgenome-A MEASLESgenome-D8 MEASLESgenome-D6	0.80219800 0.18518500 0.01261700	27.44059801222545	92.59468982005788
GCA_031128165.1_0.3_GCA_031128185.1_0.7_variants.tsv	[('Other', 0.9999999998017437)]	MEASLESgenome-H1 MEASLESgenome-D3	0.63636400 0.36363600	181.4042636526353	94.89115389455141
GCA_031128135.1_0_GCA_031129565.1_1_variants.tsv	[('Other', 0.9999999999999167)]	MEASLESgenome-D9	1.00000000	2.685368763284954	76.11048194287153
GCA_031128145.1_0.1_GCA_031128185.1_0.9_variants.tsv	[('Other', 0.999999999081164)]	MEASLESgenome-H1 MEASLESgenome-D8	0.90000000 0.10000000	109.64457980142555	79.80369950924877
GCA_031112925.1_0.5_GCA_031128145.1_0.5_variants.tsv	[('Other', 0.9999999999752331)]	MEASLESgenome-A MEASLESgenome-D8	0.50000000 0.50000000	40.47981591747664	94.50736126840317
GCA_031128135.1_0.7_GCA_031128145.1_0.3_variants.tsv	[('Other', 0.9999999998289776)]	MEASLESgenome-D5 MEASLESgenome-D8	0.69426800 0.30573200	42.38369859071144	92.85894048068454
GCA_031128155.1_0.4_GCA_031128185.1_0.6_variants.tsv	[('Other', 0.9999999971588129)]	MEASLESgenome-H1 MEASLESgenome-B3	0.58490600 0.41509399	150.0865059909596	84.26450232792249
GCA_031128115.1_0.3_GCA_031128135.1_0.7_variants.tsv	[('Other', 0.9999999999300129)]	MEASLESgenome-D5 MEASLESgenome-D4	0.69230800 0.30769200	67.58695654147799	97.12470114508619
GCA_031129565.1_0_GCA_031128185.1_1_variants.tsv	[('Other', 0.9999999999947301)]	MEASLESgenome-H1	1.00000000	38.09122385947258	67.03158424562729
GCA_031128145.1_0.8_GCA_031129565.1_0.2_variants.tsv	[('Other', 1.0000000000488414)]	MEASLESgenome-D8 MEASLESgenome-D9	0.82692298 0.17307702	73.88525850064265	93.98515162954574
GCA_031128165.1_1_GCA_031128145.1_0_variants.tsv	[('Other', 0.9999999999236365)]	MEASLESgenome-D3	1.00000000	40.116216631586454	93.9285264879829
GCA_031128145.1_0.5_GCA_031129565.1_0.5_variants.tsv	[('Other', 0.9999999999883111)]	MEASLESgenome-D8 MEASLESgenome-D9	0.50000000 0.50000000	87.78213094069852	95.00440417767712
GCA_031128165.1_0.1_GCA_031128115.1_0.9_variants.tsv	[('Other', 0.9999999990976869)]	MEASLESgenome-D4 MEASLESgenome-D3	0.90721600 0.09278399	61.56440438691182	96.72832515414622
GCA_031128155.1_0.9_GCA_031128185.1_0.1_variants.tsv	[('Other', 0.9999999999808358)]	MEASLESgenome-B3 MEASLESgenome-H1	0.93103450 0.06896550	84.5497796982082	83.72341764187743
GCA_031128135.1_0.1_GCA_031129565.1_0.9_variants.tsv	[('Other', 0.9999999999907326)]	MEASLESgenome-D9 MEASLESgenome-D5	0.90977400 0.09022600	47.73534679785142	90.44293444066943
GCA_031112925.1_1_GCA_031129565.1_0_variants.tsv	[('Other', 0.9999999999976028)]	MEASLESgenome-A	1.00000000	10.313698029206938	92.50660626651566
GCA_031128115.1_0.3_GCA_031129565.1_0.7_variants.tsv	[('Other', 0.999999999925397)]	MEASLESgenome-D9 MEASLESgenome-D4	0.67796600 0.32203400	109.22625722557389	98.63470492009563
GCA_031128145.1_1_GCA_031129565.1_0_variants.tsv	[('Other', 0.9999999999651787)]	MEASLESgenome-D8	1.00000000	31.73787897680699	84.9502957090726
GCA_031128155.1_0.1_GCA_031128135.1_0.9_variants.tsv	[('Other', 0.999999999927937)]	MEASLESgenome-D5 MEASLESgenome-B3	0.93548390 0.06451610	32.60400054362066	91.90889643890776
