,sname,region,coverage
116,54812611,Whole Genome,89.5998489996225
117,CST_WGS_25_0062_4,Whole Genome,31.017994211652194
118,ENV_COV_25_0014_04,Whole Genome,0.0
119,CST_WGS_25_0828,Whole Genome,22.964640744935195
120,CVI02083_25,Whole Genome,93.0728576821442
121,NAT-WGS-25-0664,Whole Genome,69.57342393355984
122,CVI05320_24,Whole Genome,99.70429092739398
123,NAT_WGS_25_0133,Whole Genome,70.8695105071096
124,53135964_TS,Whole Genome,95.96703158424563
125,NAT_WGS_25_0651,Whole Genome,81.76670441676104
126,58997083,Whole Genome,98.21945388196804
127,CVI06937_24,Whole Genome,73.0086825217063
128,CST_WGS_25_0607,Whole Genome,0.0
129,ENV_COV_25_0003_07,Whole Genome,12.054863470492009
130,CST_WGS_25_0729,Whole Genome,53.661759154397885
131,CST_WGS_25_0730,Whole Genome,65.25732980999119
132,ENV_COV_25_0006_08,Whole Genome,0.0
133,CST-WGS-25-0213,Whole Genome,80.93620234050584
134,CST-WGS-25-0510,Whole Genome,86.16459041147603
135,CVI02094_25,Whole Genome,77.3121932804832
136,CST_WGS_25_0887,Whole Genome,9.292814898703913
137,ART_MEV_24_2250_C,Whole Genome,86.69938341512521
138,CVI05701_23,Whole Genome,98.1124952812382
139,ENV_COV_25_0042_14,Whole Genome,97.76016106706933
140,CST_WGS_25_1031,Whole Genome,6.046306782433622
141,CVI_02265_24_NA,Whole Genome,92.68906505599598
142,CST-WGS-25-0578,Whole Genome,40.63797659494149
143,ART_MEV_24_2254_C,Whole Genome,30.74745186862967
144,ART_MEV_24_2268_D,Whole Genome,11.853529633824085
145,ENV_COV_25_0011_02,Whole Genome,45.47628035736756
146,ART_MEV_24_2279_C,Whole Genome,0.0
147,NAT-WGS-25-0661,Whole Genome,11.828362904240594
148,CST_WGS_25_0177,Whole Genome,94.82194538819681
149,ENV_COV_25_0038_12,Whole Genome,7.443060274317352
